,Log2FC,Std.Error,df,t value,Pr(>|t|),FDR,diffexpressed,delabel
UBB,0.462219018,0.171387774,100.3357676,2.69691944,0.008209766,0.049306187,NO,NA
LURAP1L,-0.641548717,0.238608628,112.0651592,-2.688707123,0.008267848,0.049619063,NO,NA
SUPT16H,0.510403722,0.189146124,92.06451212,2.698462502,0.008287109,0.049698671,NO,NA
GPRC5A,-0.756546165,0.281355312,107.4209527,-2.688935068,0.008311401,0.04977232,NO,NA
OVOL1,-0.460049544,0.171035434,105.9756856,-2.689790842,0.008307566,0.04977232,NO,NA
DDX19A,0.566395006,0.210768359,110.1162845,2.687286695,0.008320945,0.049793497,NO,NA
DLST,-0.452322919,0.168213382,103.1210806,-2.688982967,0.008359556,0.049975804,NO,NA
STRN,0.55697553,0.207204726,104.6516813,2.688044526,0.00836347,0.049975804,NO,NA
ZNF708,-0.582759391,0.216004235,87.42348998,-2.69790725,0.0083729,0.049996106,NO,NA
HSD17B3,-0.483601285,0.178753084,75.80660205,-2.70541506,0.008421552,0.050250415,NO,NA
GADD45A,-0.536387725,0.200176431,113.1306342,-2.679574826,0.008471755,0.050513599,NO,NA
TBRG1,-0.571661718,0.213013929,102.2041481,-2.68368234,0.008495419,0.050618281,NO,NA
SMAP1,0.651571991,0.243062255,107.1026833,2.680679441,0.00850932,0.050664688,NO,NA
SP100,0.593346538,0.221727301,117.3222758,2.676019307,0.008515968,0.050667871,NO,NA
BACE2,-0.585073859,0.217976697,96.65114234,-2.684111966,0.008557391,0.050877805,NO,NA
C2CD2L,-0.692294099,0.257624395,90.22199274,-2.687222613,0.008578269,0.050965372,NO,NA
FBP1,-0.684760471,0.255614614,101.9442501,-2.67887841,0.008613204,0.051010266,NO,NA
OXT,0.543927156,0.203655368,117.9688089,2.670821596,0.008635063,0.051010266,NO,NA
ARHGAP5,0.612040102,0.22867847,105.3894928,2.676422055,0.008630806,0.051010266,NO,NA
PSMB7,0.404717342,0.151405235,115.416087,2.673073639,0.008604891,0.051010266,NO,NA
POLR3K,-0.493435049,0.1844332,110.8289476,-2.67541337,0.00859488,0.051010266,NO,NA
HNRNPA3,0.340217417,0.127144043,107.2655887,2.675842371,0.0086233,0.051010266,NO,NA
SAPCD2,-0.572806965,0.213895704,103.4437905,-2.677973208,0.008616569,0.051010266,NO,NA
H2AJ,0.412631693,0.154138163,104.556978,2.677024854,0.008626067,0.051010266,NO,NA
PIGM,-0.419180751,0.154560429,61.27624169,-2.712083252,0.008665748,0.05115507,NO,NA
CDC5L,0.628270638,0.234192099,90.34589685,2.682714923,0.008683941,0.051225978,NO,NA
SMN1,-0.417996697,0.156444027,109.795464,-2.671861021,0.00869175,0.05123558,NO,NA
DMPK,-0.562268945,0.210684312,111.8619531,-2.668774621,0.008745053,0.051513148,NO,NA
MED13,-0.4377137,0.163905557,106.7995601,-2.670523847,0.008757579,0.051545487,NO,NA
DCAF4,-0.500528126,0.187708505,115.5588102,-2.666518093,0.008762982,0.051545487,NO,NA
ATG12,-0.483858871,0.180917869,97.00972994,-2.674467008,0.008784639,0.051636233,NO,NA
RABGGTA,-0.51802552,0.194178496,108.9723287,-2.667780059,0.008800383,0.051692115,NO,NA
GLG1,0.578892179,0.217228807,111.0085801,2.664896004,0.008849354,0.051931682,NO,NA
SAMD1,-0.398242845,0.149484986,112.4678558,-2.664099283,0.0088537,0.051931682,NO,NA
MRPL33,-0.295592989,0.111009667,114.3011508,-2.662768001,0.00886792,0.051978301,NO,NA
TMEM59,0.468448439,0.175658245,103.8956757,2.666817251,0.008882878,0.052029184,NO,NA
RPS27L,0.48548482,0.181944901,99.70255716,2.668306823,0.008899279,0.052088436,NO,NA
RAB40C,-0.611699423,0.229994192,117.769504,-2.659629869,0.008911997,0.05212606,NO,NA
LLGL2,-0.639961616,0.240699302,116.4102708,-2.658759756,0.008946806,0.052292754,NO,NA
GSR,-0.441321696,0.165748512,106.0145481,-2.662598242,0.008962237,0.052346034,NO,NA
B3GNT2,0.524918152,0.19738454,110.3573817,2.659368118,0.00899389,0.052493914,NO,NA
ZNF783,-0.571822321,0.213439462,77.84608279,-2.679084342,0.009004146,0.052516793,NO,NA
ZNF626,-0.617253788,0.232469581,117.2053864,-2.655202391,0.009028412,0.052621296,NO,NA
HMBOX1,-0.589595836,0.222096241,112.9157608,-2.654686247,0.009084551,0.052882326,NO,NA
UBTD2,-0.501179419,0.188767751,112.014266,-2.655005516,0.009085959,0.052882326,NO,NA
SCAPER,-0.620745539,0.23276446,88.15670998,-2.666839852,0.009109284,0.052980873,NO,NA
IFNGR2,0.369984559,0.139393851,110.2255315,2.654238738,0.009124704,0.053033344,NO,NA
FXN,0.549217853,0.205788938,83.77360008,2.668840499,0.00913803,0.05304404,NO,NA
LIPE,-0.525509912,0.197918912,106.8298991,-2.655177852,0.009139345,0.05304404,NO,NA
FCGR3A,0.85059814,0.320773972,110.9610598,2.651705609,0.009181165,0.053175047,NO,NA
CXCL14,0.889420557,0.334385069,95.02193244,2.659869232,0.009175679,0.053175047,NO,NA
HSD17B8,-0.503155151,0.189653512,108.8632293,-2.653023115,0.009170792,0.053175047,NO,NA
PAK1IP1,0.715052176,0.269313667,101.7140678,2.655090561,0.009204497,0.053272954,NO,NA
ZBTB37,-0.60741868,0.227033736,71.57457486,-2.675455603,0.009243195,0.053428643,NO,NA
MRPS18B,0.435508582,0.1645735,116.4118906,2.646286201,0.009263629,0.053428643,NO,NA
KHNYN,0.542093275,0.204820434,116.4349756,2.646675738,0.009253354,0.053428643,NO,NA
ELP3,0.637002597,0.240013539,99.40023717,2.654027771,0.009262324,0.053428643,NO,NA
TTC9,-0.593525107,0.224273498,117.9784571,-2.646434429,0.00924446,0.053428643,NO,NA
GABBR1,-0.550350903,0.207943547,112.2238124,-2.64663613,0.009297777,0.053588303,NO,NA
RHBDF1,-0.612142767,0.231160796,107.8737382,-2.648125366,0.009307747,0.053608483,NO,NA
COG1,-0.619067564,0.233910998,109.0130212,-2.64659452,0.009334263,0.05372387,NO,NA
AGGF1,-0.600878098,0.225111894,73.65087254,-2.669241889,0.009346959,0.053731464,NO,NA
LZIC,0.552926134,0.209245893,117.8313146,2.642470666,0.009348549,0.053731464,NO,NA
TRIM17,-0.425133137,0.16069063,107.550996,-2.645662273,0.009375304,0.053844922,NO,NA
DENND1B,-0.688348024,0.260620398,117.2358679,-2.64119013,0.009387779,0.053844922,NO,NA
ZRANB2,-0.461275006,0.174612298,116.0532206,-2.641709734,0.009385994,0.053844922,NO,NA
METRNL,-0.389195,0.147246728,110.4459008,-2.643148718,0.009407748,0.053884875,NO,NA
ARHGAP45,-0.568849662,0.215459697,118,-2.640167369,0.009407031,0.053884875,NO,NA
EXOC7,-0.565958197,0.214408844,115.1233488,-2.639621515,0.009450119,0.053953866,NO,NA
DIDO1,-0.482414596,0.182822334,116.6324343,-2.638707124,0.009458852,0.053953866,NO,NA
GP2,-0.816786553,0.309372413,115.649083,-2.640140228,0.009431141,0.053953866,NO,NA
UBE2B,-0.480969999,0.181644831,98.22537486,-2.64785954,0.009437747,0.053953866,NO,NA
TBC1D24,-0.587484532,0.222241495,105.8355617,-2.643451138,0.009453389,0.053953866,NO,NA
H2AW,0.679662293,0.257360924,111.8319978,2.640891562,0.009451562,0.053953866,NO,NA
ARHGEF26,0.534749727,0.202458413,108.038301,2.641281831,0.009484046,0.054060364,NO,NA
CPAMD8,-0.713825799,0.270309733,108.4680353,-2.640769868,0.009492504,0.054071388,NO,NA
CCNB1,0.729905296,0.276723369,111.8002797,2.63767133,0.009536703,0.054285848,NO,NA
UPK3A,-0.460407809,0.174373637,104.5180854,-2.640352152,0.009551037,0.054301006,NO,NA
FAM83H,-0.615824766,0.233717019,117.2862674,-2.634916229,0.009552469,0.054301006,NO,NA
PRPS2,0.591961077,0.224621655,114.6346539,2.635369588,0.009567433,0.054348791,NO,NA
TANK,-0.55490909,0.208696806,75.00697668,-2.658924695,0.009578226,0.054372835,NO,NA
A2M,0.939981407,0.356725102,112.3527722,2.635030172,0.009600731,0.054426033,NO,NA
SBF1,-0.589382819,0.222996668,95.77590615,-2.643011774,0.009600233,0.054426033,NO,NA
ZSWIM4,-0.536248161,0.201195275,67.51772108,-2.665311902,0.00961398,0.054463886,NO,NA
ARHGAP11A,0.609514082,0.23094714,99.40581885,2.639193027,0.009649098,0.054625494,NO,NA
OSBPL8,0.473192575,0.179687467,109.5429048,2.633420027,0.009675061,0.054701237,NO,NA
CCN2,0.924269784,0.351427778,117.9827481,2.630041908,0.009675677,0.054701237,NO,NA
KANSL2,-0.445993989,0.169389004,108.8855885,-2.632957149,0.009695046,0.054773375,NO,NA
ZBTB7B,-0.362860942,0.137972134,115.5486406,-2.629958176,0.009702546,0.054778408,NO,NA
IFNGR1,-0.506604524,0.19261159,113.0644774,-2.630187122,0.00972263,0.054854427,NO,NA
H2AC20,0.583360182,0.221849423,113.7413408,2.629532111,0.009733003,0.054875597,NO,NA
SH2B1,-0.584837476,0.222291552,107.6634566,-2.630947829,0.009763445,0.055004168,NO,NA
HEATR5A,-0.567541346,0.216064604,117.5977324,-2.626720603,0.00976908,0.055004168,NO,NA
ZNF76,-0.632295533,0.240812082,117.4304709,-2.625680273,0.009798972,0.055123878,NO,NA
POLR2J,0.426772729,0.162560384,117.9461291,2.625318167,0.009803643,0.055123878,NO,NA
VMAC,-0.702859375,0.267296288,106.0076203,-2.629514165,0.009822274,0.05519119,NO,NA
SUMO1,0.380028318,0.144843485,117.026107,2.623717025,0.009856512,0.055346049,NO,NA
METAP1,0.628663481,0.23900439,99.69118148,2.630342823,0.00988279,0.055456036,NO,NA
CYP51A1,0.572110688,0.218278211,117.7802505,2.621016022,0.009922845,0.055643125,NO,NA
STMP1,0.446222358,0.170294694,117.099893,2.620295137,0.009949562,0.055755221,NO,NA
EMC10,0.462153357,0.176372036,114.2460339,2.620332379,0.009978385,0.055878955,NO,NA
NFIC,-0.382450924,0.146059513,116.4378944,-2.618459534,0.010007019,0.055963681,NO,NA
OVOL2,-0.515249,0.196803478,117.5421337,-2.618088899,0.010005958,0.055963681,NO,NA
MARCHF6,-0.412751417,0.157577824,113.3058389,-2.619349646,0.010015697,0.055974444,NO,NA
PMAIP1,0.747794249,0.285767041,117.654773,2.616796697,0.010040632,0.056000512,NO,NA
CYP2R1,-0.588336459,0.2235026,86.85646373,-2.632347271,0.010034831,0.056000512,NO,NA
ADCK5,-0.512033523,0.195571602,114.2381301,-2.618138408,0.010039123,0.056000512,NO,NA
CCNT2,-0.531753438,0.20316987,115.1658209,-2.617284921,0.010052894,0.056031196,NO,NA
MYH10,0.587149443,0.223397386,89.71948821,2.628273555,0.010095049,0.056228338,NO,NA
ZNF444,0.384869286,0.146867796,102.8590449,2.620515159,0.010109355,0.056270202,NO,NA
SPTSSA,-0.629394649,0.240484412,106.9678238,-2.617195201,0.010149123,0.056453648,NO,NA
GGA2,-0.583077426,0.223070998,113.6630973,-2.613864787,0.010164486,0.056501183,NO,NA
PRKAB2,-0.386389035,0.146974332,84.11351266,-2.628955882,0.010180644,0.056515191,NO,NA
SETD1A,-0.404675766,0.154207601,91.54027987,-2.62422711,0.01017567,0.056515191,NO,NA
NUP133,-0.458827453,0.175255539,98.39002506,-2.618048223,0.010240489,0.056809351,NO,NA
ASL,-0.479421293,0.182757464,87.87931575,-2.623265188,0.010266711,0.056844683,NO,NA
ZNF480,-0.537048541,0.203524184,69.52652104,-2.638745586,0.010262222,0.056844683,NO,NA
GLUD1,0.453873631,0.173948939,116.2233008,2.609234826,0.010267434,0.056844683,NO,NA
TSC22D1,0.506868667,0.193889351,102.149073,2.614216126,0.010295157,0.056960123,NO,NA
MBNL1,0.506438064,0.194093784,112.5614237,2.609244113,0.010306994,0.056987571,NO,NA
TPCN1,-0.572510514,0.219218608,106.1219149,-2.611596338,0.010317073,0.057005267,NO,NA
POU2F1,0.645534949,0.247190533,104.774038,2.611487343,0.010337422,0.057079651,NO,NA
ZNF524,-0.447859945,0.17139553,98.72569027,-2.61301999,0.010377309,0.05726174,NO,NA
CCDC134,-0.636833501,0.243634749,94.85715478,-2.613886174,0.010411675,0.057413149,NO,NA
ENGASE,-0.708556616,0.271104215,94.37647879,-2.613594984,0.010427612,0.0574628,NO,NA
NOA1,0.59915471,0.230076013,112.9735824,2.604159825,0.010447493,0.057534099,NO,NA
TUBB4B,0.367233552,0.140841612,103.6759185,2.607422248,0.010467724,0.057607236,NO,NA
IFI27,1.422262721,0.546156372,109.7724075,2.604130967,0.010485367,0.057666041,NO,NA
DDX3X,-0.383761288,0.147619697,116.2734214,-2.599661797,0.010541173,0.05793451,NO,NA
PIGG,-0.52319181,0.199900447,81.78316833,-2.617261829,0.010556822,0.057964868,NO,NA
PIAS2,-0.434269914,0.167003527,112.6517122,-2.600363734,0.010560684,0.057964868,NO,NA
TRMT2B,-0.544113607,0.205652532,54.92602754,-2.645790952,0.010609157,0.058192384,NO,NA
DGKZ,-0.589343992,0.227051614,114.3591845,-2.595638854,0.010679265,0.058538194,NO,NA
GFPT1,0.467601204,0.180156411,112.3553326,2.595529085,0.010705123,0.05864115,NO,NA
P4HA1,0.677385754,0.261230036,117.4113359,2.593062287,0.010721949,0.058658291,NO,NA
RGS2,0.74271964,0.285982198,106.586394,2.597083477,0.010729485,0.058658291,NO,NA
CCNQ,0.596758192,0.228544092,82.2350283,2.61112937,0.010723135,0.058658291,NO,NA
TRAPPC9,-0.62275809,0.240307516,117.7626209,-2.591504835,0.010764204,0.058809307,NO,NA
NQO1,-0.537189678,0.206889929,101.5088225,-2.596499889,0.010814948,0.059021543,NO,NA
ATP5MF,0.38928466,0.149989867,103.6673549,2.595406395,0.010817293,0.059021543,NO,NA
RAB26,-0.666491362,0.257358833,116.4160837,-2.589735719,0.010830968,0.059057277,NO,NA
TXNL1,0.477595638,0.184584785,117.8593338,2.587405225,0.010884982,0.059273806,NO,NA
TOLLIP,-0.585487837,0.226015253,110.1867769,-2.590479311,0.010879907,0.059273806,NO,NA
TUBGCP3,0.599765047,0.230373661,83.63232163,2.603444532,0.010917689,0.059339836,NO,NA
PSMA1,0.385071196,0.148858246,116.3215909,2.586831476,0.010918587,0.059339836,NO,NA
RBM39,-0.447963999,0.173013284,110.7849951,-2.589188468,0.010911191,0.059339836,NO,NA
RUSF1,-0.398794568,0.154112396,109.9355029,-2.587686509,0.010966347,0.059560342,NO,NA
SERPINB1,0.645840233,0.24991379,117.9813852,2.584252086,0.010978208,0.059585716,NO,NA
TMEM259,-0.59947619,0.231506024,103.4069809,-2.58946259,0.010997588,0.059651837,NO,NA
FAM3C,-0.313302166,0.121298825,112.0209787,-2.582895299,0.011085716,0.060090528,NO,NA
PFDN5,0.320918593,0.124086373,102.9900967,2.586251698,0.011099934,0.060128273,NO,NA
ZNF627,-0.452476254,0.174070066,79.38416351,-2.599391518,0.011131605,0.060260448,NO,NA
USP7,-0.371001422,0.143913927,117.0769934,-2.577939666,0.011179368,0.060414935,NO,NA
MRPL19,0.555599145,0.215150635,104.6757399,2.582372787,0.01119441,0.060414935,NO,NA
EVA1B,-0.707014804,0.274110085,113.5766705,-2.579309708,0.011176621,0.060414935,NO,NA
WDR73,-0.482585179,0.187235241,116.9353467,-2.577427073,0.01119659,0.060414935,NO,NA
WDR12,-0.536038152,0.208001809,118,-2.577084088,0.011195617,0.060414935,NO,NA
TXN,0.457228147,0.177296013,109.2489026,2.578896952,0.011241114,0.060615714,NO,NA
H2AC8,0.706880418,0.274448469,116.7588222,2.575639868,0.011253357,0.06064228,NO,NA
DENND10,0.579018255,0.222969361,77.00870176,2.596851211,0.011265143,0.060666346,NO,NA
CDC42BPB,-0.436327833,0.169244905,104.7502555,-2.578085488,0.011324656,0.060947238,NO,NA
PRKAR1B,-0.626320437,0.243396337,113.168846,-2.573253342,0.011367649,0.06109927,NO,NA
MT1E,1.064842557,0.413619053,110.2870658,2.574452385,0.0113651,0.06109927,NO,NA
PTS,0.51057645,0.198545774,115.7381408,2.57158054,0.011390155,0.061180558,NO,NA
SLC37A3,-0.535316034,0.208334496,117.2432045,-2.569502627,0.011438214,0.061398909,NO,NA
EIF4G3,-0.43090906,0.167776835,117.2705227,-2.56834658,0.011474051,0.061471837,NO,NA
DYNC1LI2,0.358866312,0.139624366,112.3225451,2.57022697,0.011471812,0.061471837,NO,NA
PRDX3,0.453596248,0.176339871,107.2152367,2.572284105,0.011471437,0.061471837,NO,NA
IGFBP3,0.989161714,0.385214719,117.5896803,2.567819103,0.011487084,0.061472691,NO,NA
BICDL2,-0.498869008,0.194288324,117.8285816,-2.567673636,0.011489044,0.061472691,NO,NA
PNLIPRP3,-0.406145351,0.158332679,117.8935132,-2.565139132,0.01156803,0.061775664,NO,NA
OSBPL11,-0.566903582,0.220988318,118,-2.565310179,0.011561478,0.061775664,NO,NA
SHROOM1,-0.979696298,0.381168838,104.824707,-2.570242368,0.01156734,0.061775664,NO,NA
TSC22D4,-0.566655542,0.220819604,113.2977136,-2.566146899,0.011588304,0.061844083,NO,NA
UPK3BL1,-0.381752772,0.148700868,108.1479982,-2.567253151,0.011617034,0.061957516,NO,NA
PABIR1,-0.620173825,0.241197822,97.70819558,-2.571224811,0.011641529,0.062048225,NO,NA
TEN1,-0.614783134,0.239617889,108.3363564,-2.565681286,0.011664263,0.062129444,NO,NA
TPI1,0.373862581,0.145719421,105.2759014,2.565633175,0.011706533,0.06230929,NO,NA
DDX1,0.41598415,0.162470786,117.9285541,2.560362763,0.011719176,0.06230929,NO,NA
NDUFA13,-0.367285093,0.143293593,110.1863723,-2.56316479,0.011720582,0.06230929,NO,NA
CYBC1,-0.607631196,0.237179962,111.9087951,-2.561899368,0.011739625,0.062370523,NO,NA
SFMBT1,-0.556413262,0.215605138,77.35227498,-2.580705026,0.011751978,0.062396154,NO,NA
SHISA4,-0.646220567,0.252447333,115.0247067,-2.559823305,0.011769042,0.062446748,NO,NA
SYT1,0.872808544,0.340723271,107.3856148,2.561634673,0.011805469,0.062599955,NO,NA
PPP2R5C,-0.419359653,0.16395297,114.2443127,-2.557804552,0.011842884,0.062752674,NO,NA
MYB,-0.724956159,0.283468357,114.6618641,-2.55745003,0.011849413,0.062752674,NO,NA
TCEA1,0.319191291,0.124777867,110.2573961,2.558076198,0.011882604,0.062888267,NO,NA
GZF1,-0.55553896,0.217054343,105.7171287,-2.55944642,0.011898164,0.062930427,NO,NA
SSR4,0.398576718,0.155592424,99.07901315,2.561671763,0.011923689,0.063025215,NO,NA
ASB1,-0.453904688,0.177299951,101.4233883,-2.560094824,0.011938675,0.063064207,NO,NA
MAGT1,0.573321004,0.22423139,104.547586,2.556827582,0.011999008,0.063342532,NO,NA
RFX7,-0.516008193,0.20143753,93.39387415,-2.561628867,0.01201937,0.063369299,NO,NA
ALDOA,0.509814201,0.199628929,110.5729626,2.55380923,0.012016789,0.063369299,NO,NA
CFL1,0.359226955,0.140610716,106.2266426,2.554762281,0.012042808,0.063452505,NO,NA
SRI,0.505628324,0.198294942,117.7508846,2.549880082,0.012059978,0.063473969,NO,NA
TMA16,0.585710701,0.229210907,103.5142566,2.555335215,0.012062198,0.063473969,NO,NA
CCT8,0.499306055,0.195876902,116.6909546,2.549080824,0.012098106,0.063622525,NO,NA
FAM53C,-0.505999826,0.198600793,117.7002106,-2.547823797,0.012128037,0.063739485,NO,NA
IKZF3,0.724463752,0.283903624,104.5008154,2.551794664,0.012163825,0.063887059,NO,NA
CTDSPL2,0.405737335,0.159388421,117.9870463,2.545588515,0.01219858,0.064029024,NO,NA
SOX9,-0.538826406,0.211715899,112.8005032,-2.545044608,0.012277253,0.064401185,NO,NA
FBXL8,-0.506225384,0.198658997,101.4538438,-2.548212725,0.01232666,0.064583116,NO,NA
UBE2N,0.425698427,0.167461308,116.9219902,2.542070363,0.012327521,0.064583116,NO,NA
TMEM98,0.749669114,0.295014679,117.9162761,2.541124787,0.012347842,0.064648715,NO,NA
SNX9,-0.521937547,0.205268389,112.0633215,-2.542707865,0.012364189,0.064693432,NO,NA
MTLN,-0.607164166,0.238410656,100.5555658,-2.546715724,0.012390155,0.064788393,NO,NA
PURA,-0.559517902,0.219556102,95.22522913,-2.548405156,0.012420929,0.064908363,NO,NA
RICTOR,0.650832339,0.256266286,113.8146895,2.539672111,0.01244443,0.064990193,NO,NA
ARRB1,-0.72275489,0.284853472,117.6870977,-2.537286576,0.012479398,0.065131772,NO,NA
FBXL12,-0.525892054,0.206929611,101.6802505,-2.541405513,0.012550826,0.065463337,NO,NA
NIBAN1,0.740151531,0.292181767,114.6668174,2.533188632,0.012653832,0.065959093,NO,NA
TRMT11,-0.635952179,0.251224969,117.5360798,-2.531405145,0.012681104,0.06604748,NO,NA
STK19,-0.553684011,0.218748489,117.8252666,-2.531144387,0.012686726,0.06604748,NO,NA
CTXN1,-0.618845135,0.244612623,117.9822994,-2.529898615,0.012727682,0.066219099,NO,NA
C19orf53,0.389497896,0.153922497,114.4273102,2.530480623,0.012749498,0.066231902,NO,NA
CPT1A,-0.531615135,0.210182744,117.9995412,-2.52929962,0.012748084,0.066231902,NO,NA
H2AC15,0.554838725,0.218695316,98.19150504,2.537039819,0.012754116,0.066231902,NO,NA
H4C2,0.712845814,0.281833815,116.2261924,2.529312579,0.012768191,0.066263472,NO,NA
AFF3,0.69398815,0.273730969,97.40804234,2.535292783,0.012826905,0.06648492,NO,NA
YY1,-0.433772958,0.171641186,117.4513016,-2.52720788,0.012826556,0.06648492,NO,NA
TMEM86B,-0.582850708,0.230081224,100.5462633,-2.533238899,0.012846491,0.066544822,NO,NA
XRCC5,0.393082366,0.155314758,104.8478773,2.530875817,0.012862927,0.066588346,NO,NA
RREB1,-0.398168448,0.157339306,104.0894425,-2.53063559,0.012882301,0.066647009,NO,NA
MAST3,-0.591686645,0.2322036,74.37150128,-2.548137263,0.012893697,0.066664355,NO,NA
GUCY1A1,0.688876125,0.272880218,117.9010435,2.52446341,0.012916627,0.066677881,NO,NA
AP2A1,-0.423644467,0.167809152,117.2764983,-2.52456115,0.012920449,0.066677881,NO,NA
SYPL1,0.582527349,0.230703559,117.046953,2.525003739,0.012907719,0.066677881,NO,NA
SF3B3,0.564387205,0.223620813,116.7731911,2.523858126,0.012950835,0.066793105,NO,NA
SAP18,0.420939621,0.166705119,112.3940751,2.525055162,0.01296252,0.066811796,NO,NA
RPS12,0.427990653,0.169062755,94.68923721,2.531549033,0.013003027,0.066900966,NO,NA
LINS1,-0.620850709,0.246152971,117.9901579,-2.52221497,0.012994104,0.066900966,NO,NA
EED,-0.585034101,0.231836079,113.4622416,-2.523481693,0.013004037,0.066900966,NO,NA
MTSS1,-0.7098452,0.281637176,116.9478699,-2.520424361,0.013069075,0.067193855,NO,NA
PIGX,0.551105792,0.218448972,107.8526148,2.522812474,0.01310114,0.067275245,NO,NA
CTDSPL,0.510757,0.202742034,117.8832504,2.51924571,0.013099664,0.067275245,NO,NA
PRKCD,-0.481498212,0.191194687,117.7209003,-2.518366066,0.013132601,0.067395047,NO,NA
PDE4B,-0.747310031,0.296539622,111.2522837,-2.520101791,0.013150953,0.06744746,NO,NA
EPB41L5,-0.51632628,0.204976068,113.213858,-2.518958849,0.013166207,0.067483933,NO,NA
WDR62,-0.575167235,0.226838542,78.59311587,-2.535579846,0.01320986,0.067632653,NO,NA
C1orf216,-0.649006231,0.257420287,104.1358867,-2.521193021,0.013211543,0.067632653,NO,NA
HSPA14,0.540402559,0.21369683,87.01895146,2.528828147,0.013247473,0.067773933,NO,NA
AIDA,0.541760429,0.215425473,117.9155735,2.514839226,0.013255495,0.067773933,NO,NA
NHLH2,-0.479971758,0.190161311,94.12095981,-2.524024233,0.013276611,0.067840046,NO,NA
YTHDC2,-0.629127031,0.248631145,82.34106107,-2.530362918,0.013298927,0.067903821,NO,NA
MLPH,-0.509744136,0.201812946,89.31462442,-2.52582476,0.013305478,0.067903821,NO,NA
GTF2H2C,0.50462166,0.200298371,98.84534689,2.51934979,0.013360128,0.068110773,NO,NA
SLC2A5,-0.301912028,0.119866127,100.000736,-2.518743494,0.013362753,0.068110773,NO,NA
ZDHHC3,-0.396547586,0.157787171,113.3159187,-2.513180145,0.013370684,0.068110773,NO,NA
TET1,-0.626176182,0.249449668,117.9901159,-2.510230566,0.013419777,0.068318866,NO,NA
DTX3,-0.561831046,0.223713341,111.7069867,-2.511388206,0.0134558,0.068460202,NO,NA
SPTAN1,0.358748537,0.142962086,113.6207159,2.509396354,0.013503099,0.068658701,NO,NA
EGR1,0.768938341,0.306506571,111.8266176,2.508717311,0.013550791,0.068816764,NO,NA
L3MBTL1,-0.630717493,0.250679683,95.15368537,-2.516029564,0.013542843,0.068816764,NO,NA
GRB2,-0.562650922,0.22449117,116.3228827,-2.506338762,0.013580582,0.068925818,NO,NA
CMSS1,0.592742839,0.236277235,107.8711858,2.508675195,0.013606038,0.069012755,NO,NA
ZHX2,-0.607680469,0.242149268,104.9428677,-2.50952841,0.01361745,0.069028393,NO,NA
MGRN1,-0.35892879,0.143418312,117.8248295,-2.502670583,0.013696636,0.069387358,NO,NA
PHAX,-0.215836204,0.086210199,112.1823864,-2.503604039,0.013732696,0.069512548,NO,NA
KLHDC3,-0.428631731,0.171070828,106.5309984,-2.505580508,0.013738122,0.069512548,NO,NA
MT2A,0.613125412,0.244488439,99.93834676,2.507788972,0.01375926,0.069549796,NO,NA
HIC2,-0.633257327,0.252807313,106.5836798,-2.504901138,0.013762267,0.069549796,NO,NA
SOS2,-0.45138882,0.180579509,116.7403686,-2.499668,0.013820253,0.069673754,NO,NA
ANO8,-0.654681512,0.261668005,111.5364022,-2.501954766,0.013801882,0.069673754,NO,NA
FHIP1B,-0.598275658,0.238896731,104.0905046,-2.50432752,0.013820421,0.069673754,NO,NA
RHOT2,-0.475792899,0.190327072,117.0583431,-2.499869802,0.013808945,0.069673754,NO,NA
GARRE1,-0.62465157,0.249060352,93.04857304,-2.508032953,0.013872513,0.06989385,NO,NA
MSH6,0.569236158,0.224327387,57.46613311,2.537524133,0.013900359,0.069894993,NO,NA
CXCR4,0.492644346,0.19710984,111.7984425,2.499339184,0.013895119,0.069894993,NO,NA
CUL5,-0.484231835,0.193299168,98.51647676,-2.505090117,0.013882168,0.069894993,NO,NA
AGR3,0.694499783,0.277118721,94.94366935,2.506145313,0.013906472,0.069894993,NO,NA
TMC6,-0.683712383,0.273942514,117.7440599,-2.495824305,0.013950904,0.070075815,NO,NA
CD58,-0.556708406,0.222992578,113.2175443,-2.496533339,0.013980891,0.070183902,NO,NA
TRIB1,-0.600962174,0.240756434,111.6628404,-2.496141697,0.014015974,0.070317429,NO,NA
UBE2K,0.330983708,0.132660187,112.7949446,2.494973926,0.014044701,0.070418926,NO,NA
IP6K1,-0.574571279,0.22922281,86.0508977,-2.506606036,0.014069888,0.070502559,NO,NA
MYC,0.760699513,0.304424528,97.4545787,2.498811505,0.014133679,0.070608758,NO,NA
TUBG2,-0.568385173,0.228118905,117.6404874,-2.491618017,0.014109854,0.070608758,NO,NA
CHP1,0.403322139,0.161866521,117.9850904,2.491695855,0.014102773,0.070608758,NO,NA
ZNF706,0.404135214,0.162070867,110.2104594,2.493570999,0.014132065,0.070608758,NO,NA
CCDC6,0.551858222,0.221396379,113.775519,2.49262533,0.014120159,0.070608758,NO,NA
SYNE4,-0.636700267,0.255114634,101.7871013,-2.495741844,0.014175894,0.070776993,NO,NA
NDUFB6,0.40876077,0.164265478,116.1846393,2.488415542,0.014248868,0.071098505,NO,NA
RCOR1,-0.47166939,0.188812295,85.58848748,-2.49808621,0.014399103,0.071804911,NO,NA
KIAA1191,-0.543198194,0.218007238,97.19759964,-2.491652111,0.014408451,0.071808326,NO,NA
