,Log2FC,Std.Error,df,t value,Pr(>|t|),FDR,diffexpressed,delabel
PPA1,0.76740817,0.185786889,109.0342402,4.130583017,7.12E-05,0.00153977,NO,NA
NUBP2,-0.720074111,0.173685206,96.24201708,-4.145857481,7.29E-05,0.00156956,NO,NA
CDK2AP1,-0.627228057,0.151085213,91.65344793,-4.151485409,7.39E-05,0.001587043,NO,NA
CCDC47,-0.408414586,0.099143086,107.4263228,-4.119445986,7.49E-05,0.001603489,NO,NA
STAT1,0.910201603,0.22179697,117.9940135,4.103760303,7.51E-05,0.001604485,NO,NA
TXLNA,-0.676650548,0.16472202,114.4423303,-4.107832997,7.53E-05,0.001604485,NO,NA
STRAP,0.722276197,0.176258441,117.9109595,4.097824711,7.69E-05,0.001631952,NO,NA
BTBD6,-0.562143252,0.136890286,110.8453081,-4.106524056,7.71E-05,0.001631952,NO,NA
COMMD6,0.64886354,0.1573959,100.5815337,4.122493293,7.72E-05,0.001631952,NO,NA
KIAA1522,-0.711101263,0.173303959,111.1691883,-4.103202639,7.79E-05,0.001639594,NO,NA
FAM199X,-0.687888368,0.165471119,83.29848527,-4.157150648,7.78E-05,0.001639594,NO,NA
EIF3E,0.854489681,0.207817674,105.0330268,4.111727672,7.81E-05,0.00163976,NO,NA
GLRA1,-0.847200091,0.206504876,104.1754563,-4.102566999,8.13E-05,0.001697389,NO,NA
PAK4,-0.656123219,0.160551246,115.0318147,-4.086690304,8.13E-05,0.001697389,NO,NA
GJD4,-0.845378658,0.199309266,57.43994376,-4.241542172,8.17E-05,0.001701539,NO,NA
MKNK1,-0.730947782,0.178351512,104.5670684,-4.098354846,8.24E-05,0.001710931,NO,NA
EPHA1,-0.807982617,0.195624194,85.87210494,-4.130279586,8.38E-05,0.001731057,NO,NA
USP53,-0.83490383,0.204757853,115.5035977,-4.077518,8.40E-05,0.001731057,NO,NA
RELL2,-0.934690294,0.229126692,108.9092799,-4.079360145,8.63E-05,0.001773903,NO,NA
MGAT4B,-0.645019146,0.158186452,108.9195543,-4.077587794,8.68E-05,0.001781144,NO,NA
SH3D21,-0.647073362,0.159202479,117.6499961,-4.064467872,8.73E-05,0.001786257,NO,NA
LAP3,0.933427752,0.229588903,115.778408,4.065648384,8.77E-05,0.001788908,NO,NA
TANC1,-0.750337162,0.184614944,116.3890446,-4.064335982,8.78E-05,0.001788908,NO,NA
SPIN2B,-0.640901758,0.157445605,107.6546981,-4.070623351,8.97E-05,0.001822524,NO,NA
GIT2,-0.710095468,0.175150125,116.735915,-4.054210459,9.11E-05,0.001845815,NO,NA
NPRL3,-0.614536396,0.150641175,99.18338469,-4.079471601,9.13E-05,0.001845815,NO,NA
LIME1,-0.807834486,0.198288961,101.2401911,-4.074026516,9.20E-05,0.001854487,NO,NA
SF3B6,0.705758221,0.174237001,116.1009089,4.050564565,9.26E-05,0.001863307,NO,NA
LUC7L,-0.630397677,0.156081597,117.5055947,-4.038898173,9.61E-05,0.001919843,NO,NA
ZNF417,-0.493908701,0.122223374,115.0377957,-4.041033114,9.65E-05,0.001921932,NO,NA
TTC39A,-0.938398595,0.23272542,117.4760246,-4.032213565,9.86E-05,0.00194525,NO,NA
GYG1,0.645772807,0.159975895,114.9594104,4.036688199,9.81E-05,0.00194525,NO,NA
HSPA8,0.568827856,0.140556085,106.6227801,4.046981352,9.85E-05,0.00194525,NO,NA
SYNRG,-0.942339624,0.232980498,108.7030172,-4.044714603,9.82E-05,0.00194525,NO,NA
MADD,-0.801289951,0.196868663,91.13056394,-4.0701752,9.99E-05,0.001965376,NO,NA
ZFYVE21,-0.900966112,0.223848923,117.9589474,-4.02488473,0.000101093,0.001980182,NO,NA
ZNF548,-0.806099211,0.198528376,94.10600539,-4.060372763,0.000101303,0.001980182,NO,NA
TMEM80,-0.745100356,0.184909433,104.3595266,-4.02954216,0.000106366,0.002065924,NO,NA
LAMP1,0.654599424,0.162839921,110.9681424,4.019895257,0.000106437,0.002065924,NO,NA
RAB3D,-0.678575091,0.168567456,105.6241745,-4.025540333,0.00010719,0.002075684,NO,NA
DNAJC5,-0.810130049,0.202389817,117.5823103,-4.002820207,0.000109939,0.002119003,NO,NA
PPP1R15B,-0.704556866,0.176336817,114.6758811,-3.995517658,0.000114445,0.002200739,NO,NA
ZNF513,-0.814281044,0.203248279,104.7792989,-4.006336718,0.000115559,0.002217025,NO,NA
ABHD11,-0.774846603,0.194008317,111.3029404,-3.993883444,0.000116983,0.002239154,NO,NA
SHOC2,0.80792256,0.202566857,108.3940046,3.988424236,0.000121087,0.002312373,NO,NA
RPS27A,0.559591783,0.139656151,95.35608041,4.006925442,0.000121967,0.002318491,NO,NA
HID1,-0.909551529,0.227872985,104.8922568,-3.991484688,0.000121944,0.002318491,NO,NA
RASSF7,-0.877074192,0.220581672,108.755372,-3.976187984,0.000126419,0.002378223,NO,NA
INTS13,0.810415722,0.204254245,115.1999861,3.967681179,0.000126544,0.002378223,NO,NA
NBPF19,-0.488546871,0.122766517,106.6181206,-3.979479787,0.000126265,0.002378223,NO,NA
AP5S1,-0.887768351,0.22106369,83.59137879,-4.015894015,0.000128749,0.002414182,NO,NA
CTNND1,-0.557921964,0.140562576,109.0448449,-3.969207039,0.000129509,0.002416557,NO,NA
CPLX2,-0.673983954,0.170046699,113.0480482,-3.963522704,0.00012975,0.002416557,NO,NA
PDAP1,0.64689171,0.163120389,111.6971138,3.965731775,0.00012951,0.002416557,NO,NA
